Gender,AgeGroup,HeadSize,BrainWeight
male,young,4512,1530
male,young,3738,1297
male,young,4261,1335
male,young,3777,1282
male,young,4177,1590
male,young,3585,1300
male,young,3785,1400
male,young,3559,1255
male,young,3613,1355
male,young,3982,1375
male,young,3443,1340
male,young,3993,1380
male,young,3640,1355
male,young,4208,1522
male,young,3832,1208
male,young,3876,1405
male,young,3497,1358
male,young,3466,1292
male,young,3095,1340
male,young,4424,1400
male,young,3878,1357
male,young,4046,1287
male,young,3804,1275
male,young,3710,1270
male,young,4747,1635
male,young,4423,1505
male,young,4036,1490
male,young,4022,1485
male,young,3454,1310
male,young,4175,1420
male,young,3787,1318
male,young,3796,1432
male,young,4103,1364
male,young,4161,1405
male,young,4158,1432
male,young,3814,1207
male,young,3527,1375
male,young,3748,1350
male,young,3334,1236
male,young,3492,1250
male,young,3962,1350
male,young,3505,1320
male,young,4315,1525
male,young,3804,1570
male,young,3863,1340
male,young,4034,1422
male,young,4308,1506
male,young,3165,1215
male,young,3641,1311
male,young,3644,1300
male,young,3891,1224
male,young,3793,1350
male,young,4270,1335
male,young,4063,1390
male,young,4012,1400
male,young,3458,1225
male,young,3890,1310
male,old,4166,1560
male,old,3935,1330
male,old,3669,1222
male,old,3866,1415
male,old,3393,1175
male,old,4442,1330
male,old,4253,1485
male,old,3727,1470
male,old,3329,1135
male,old,3415,1310
male,old,3372,1154
male,old,4430,1510
male,old,4381,1415
male,old,4008,1468
male,old,3858,1390
male,old,4121,1380
male,old,4057,1432
male,old,3824,1240
male,old,3394,1195
male,old,3558,1225
male,old,3362,1188
male,old,3930,1252
male,old,3835,1315
male,old,3830,1245
male,old,3856,1430
male,old,3249,1279
male,old,3577,1245
male,old,3933,1309
male,old,3850,1412
male,old,3309,1120
male,old,3406,1220
male,old,3506,1280
male,old,3907,1440
male,old,4160,1370
male,old,3318,1192
male,old,3662,1230
male,old,3899,1346
male,old,3700,1290
male,old,3779,1165
male,old,3473,1240
male,old,3490,1132
male,old,3654,1242
male,old,3478,1270
male,old,3495,1218
male,old,3834,1430
male,old,3876,1588
male,old,3661,1320
male,old,3618,1290
male,old,3648,1260
male,old,4032,1425
male,old,3399,1226
male,old,3916,1360
male,old,4430,1620
male,old,3695,1310
male,old,3524,1250
male,old,3571,1295
male,old,3594,1290
male,old,3383,1290
male,old,3499,1275
male,old,3589,1250
male,old,3900,1270
male,old,4114,1362
male,old,3937,1300
male,old,3399,1173
male,old,4200,1256
male,old,4488,1440
male,old,3614,1180
male,old,4051,1306
male,old,3782,1350
male,old,3391,1125
male,old,3124,1165
male,old,4053,1312
male,old,3582,1300
male,old,3666,1270
male,old,3532,1335
male,old,4046,1450
male,old,3667,1310
female,young,2857,1027
female,young,3436,1235
female,young,3791,1260
female,young,3302,1165
female,young,3104,1080
female,young,3171,1127
female,young,3572,1270
female,young,3530,1252
female,young,3175,1200
female,young,3438,1290
female,young,3903,1334
female,young,3899,1380
female,young,3401,1140
female,young,3267,1243
female,young,3451,1340
female,young,3090,1168
female,young,3413,1322
female,young,3323,1249
female,young,3680,1321
female,young,3439,1192
female,young,3853,1373
female,young,3156,1170
female,young,3279,1265
female,young,3707,1235
female,young,4006,1302
female,young,3269,1241
female,young,3071,1078
female,young,3779,1520
female,young,3548,1460
female,young,3292,1075
female,young,3497,1280
female,young,3082,1180
female,young,3248,1250
female,young,3358,1190
female,young,3803,1374
female,young,3566,1306
female,young,3145,1202
female,young,3503,1240
female,young,3571,1316
female,young,3724,1280
female,young,3615,1350
female,young,3203,1180
female,young,3609,1210
female,young,3561,1127
female,young,3979,1324
female,young,3533,1210
female,young,3689,1290
female,young,3158,1100
female,young,4005,1280
female,young,3181,1175
female,young,3479,1160
female,young,3642,1205
female,young,3632,1163
female,old,3069,1022
female,old,3394,1243
female,old,3703,1350
female,old,3165,1237
female,old,3354,1204
female,old,3000,1090
female,old,3687,1355
female,old,3556,1250
female,old,2773,1076
female,old,3058,1120
female,old,3344,1220
female,old,3493,1240
female,old,3297,1220
female,old,3360,1095
female,old,3228,1235
female,old,3277,1105
female,old,3851,1405
female,old,3067,1150
female,old,3692,1305
female,old,3402,1220
female,old,3995,1296
female,old,3318,1175
female,old,2720,955
female,old,2937,1070
female,old,3580,1320
female,old,2939,1060
female,old,2989,1130
female,old,3586,1250
female,old,3156,1225
female,old,3246,1180
female,old,3170,1178
female,old,3268,1142
female,old,3389,1130
female,old,3381,1185
female,old,2864,1012
female,old,3740,1280
female,old,3479,1103
female,old,3647,1408
female,old,3716,1300
female,old,3284,1246
female,old,4204,1380
female,old,3735,1350
female,old,3218,1060
female,old,3685,1350
female,old,3704,1220
female,old,3214,1110
female,old,3394,1215
female,old,3233,1104
female,old,3352,1170
female,old,3391,1120
