filename, speaker, sentence, score
1,WALLACE,Secretary Clinton Mister Trump welcome,0.424760320877
2,WALLACE, Let's get right to it,0.208760320877
3,WALLACE, The first topic is the Supreme Court,0.0247603208766
4,WALLACE,You both talked briefly about the court in the last debate but I want to drill down on this because the next president will almost certainly have at least one appointment and likely or possibly two or three appointments,-0.129329951989
5,WALLACE, Which means that you will in effect determine the balance of the court for what could be the next quarter century,-0.0295253934091
6,WALLACE,First of all where do you want to see the court take the country,0.120474606591
7,WALLACE, And secondly what's your view on how the Constitution should be interpreted,0.0068636274702
8,WALLACE, Do the founders' words mean what they say or is it a living document to be applied flexibly according to changing circumstances,-0.0602178901122
9,WALLACE, In this segment Secretary Clinton you go first,0.339760320877
10,WALLACE, You have two minutes,0.309760320877
11,CLINTON, Thank you very much Chris,0.768760320877
12,CLINTON, And thanks to UNLV for hosting us,0.389794560751
13,CLINTON,You know I think when we talk about the Supreme Court it really raises the central issue in this election namely what kind of country are we going to be,0.186760320877
14,CLINTON, What kind of opportunities will we provide for our citizens,0.688760320877
15,CLINTON, What kind of rights will Americans have,0.596188892305
16,CLINTON,And I feel strongly that the Supreme Court needs to stand on the side of the American people not on the side of the powerful corporations and the wealthy,0.00131204501452
17,CLINTON, For me that means that we need a Supreme Court that will stand up on behalf of women's rights on behalf of the rights of the LGBT community that will stand up and say no to Citizens United a decision that has undermined the election system in our country because of the way it permits dark unaccountable money to come into our electoral system,0.0684509208081
18,CLINTON,I have major disagreements with my opponent about these issues and others that will be before the Supreme Court,-0.0912796960117
19,CLINTON, But I feel that at this point in our country's history it is important that we not reverse marriage equality that we not reverse Roe v,-0.0154227683879
20,CLINTON, Wade that we stand up against Citizens United we stand up for the rights of people in the workplace that we stand up and basically say The Supreme Court should represent all of us,0.209774419649
21,CLINTON,That's how I see the court and the kind of people that I would be looking to nominate to the court would be in the great tradition of standing up to the powerful standing up on behalf of our rights as Americans,0.149885075141
22,CLINTON,And I look forward to having that opportunity,0.327260320877
23,CLINTON, I would hope that the Senate would do its job and confirm the nominee that President Obama has sent to them,0.0338307665074
24,CLINTON, That's the way the Constitution fundamentally should operate,-0.115834719233
25,CLINTON, The president nominates and then the Senate advises and consents or not but they go forward with the process,-0.168622887683
26,WALLACE, Secretary Clinton thank you,0.809760320877
27,WALLACE, Mister Trump same question,-0.105239679123
28,WALLACE, Where do you want to see the court take the country,-0.0152396791234
29,WALLACE, And how do you believe the Constitution should be interpreted,0.247760320877
30,TRUMP, Well first of all it's great to be with you and thank you everybody,0.703331749448
31,TRUMP, The Supreme Court It's what it's all about,-0.207739679123
32,TRUMP, Our country is so so -- it's just so imperative that we have the right justices,0.137617760712
33,TRUMP,Something happened recently where Justice Ginsburg made some very very inappropriate statements toward me and toward a tremendous number of people many many millions of people that I represent,0.326500988402
34,TRUMP, And she was forced to apologize,-0.515239679123
35,TRUMP, And apologize she did,0.124760320877
36,TRUMP, But these were statements that should never ever have been made,-0.337057860942
37,TRUMP,We need a Supreme Court that in my opinion is going to uphold the Second Amendment and all amendments but the Second Amendment which is under absolute siege,-0.0693211420745
38,TRUMP, I believe if my opponent should win this race which I truly don't think will happen we will have a Second Amendment which will be a very very small replica of what it is right now,0.21351697863
39,TRUMP, But I feel that it's absolutely important that we uphold because of the fact that it is under such trauma,-0.0607157112111
40,TRUMP,I feel that the justices that I am going to appoint -- and I've named 20 of them -- the justices that I'm going to appoint will be pro-life,-0.0172425262618
41,TRUMP, They will have a conservative bent,-0.0485730124567
42,TRUMP, They will be protecting the Second Amendment,0.267617463734
43,TRUMP, They are great scholars in all cases and they're people of tremendous respect,0.583221859338
44,TRUMP, They will interpret the Constitution the way the founders wanted it interpreted,-0.00853306593618
45,TRUMP, And I believe that's very very important,0.579046035162
46,TRUMP,I don't think we should have justices appointed that decide what they want to hear,0.0951096328181
47,TRUMP, It's all about the Constitution of -- of -- and so important the Constitution the way it was meant to be,-0.047121614445
48,TRUMP, And those are the people that I will appoint,0.0375647296681
49,WALLACE, Mister Trump thank you,0.719760320877
50,WALLACE, We now have about 10 minutes for an open discussion,0.202284288789
51,WALLACE, I want to focus on two issues that in fact by the justices that you name could end up changing the existing law of the land,-0.0231150760802
52,WALLACE, First is one that you mentioned Mister Trump and that is guns,-0.120239679123
53,WALLACE,Secretary Clinton you said last year let me quote "The Supreme Court is wrong on the Second Amendment,-0.107726363617
54,WALLACE," And now in fact in the 2008 Heller case the court ruled that there is a constitutional right to bear arms but a right that is reasonably limited,-0.0809045399038
55,WALLACE, Those were the words of the Judge Antonin Scalia who wrote the decision,-0.209818190028
56,WALLACE, What's wrong with that,-0.725239679123
57,CLINTON, Well first of all I support the Second Amendment,0.502538098654
58,CLINTON, I lived in Arkansas for 18 wonderful years,0.409165280767
59,CLINTON, I represented upstate New York,0.567808256701
60,CLINTON, I understand and respect the tradition of gun ownership,0.242538098654
61,CLINTON, It goes back to the founding of our country,0.0136492097655
62,CLINTON,But I also believe that there can be and must be reasonable regulation,0.029375705492
63,CLINTON, Because I support the Second Amendment doesn't mean that I want people who shouldn't have guns to be able to threaten you kill you or members of your family,-0.151955552257
64,CLINTON,And so when I think about what we need to do we have 33000 people a year who die from guns,-0.203085408689
65,CLINTON, I think we need comprehensive background checks need to close the online loophole close the gun show loophole,-0.0302130481097
66,CLINTON, There's other matters that I think are sensible that are the kind of reforms that would make a difference that are not in any way conflicting with the Second Amendment,-0.0648903671819
67,CLINTON,You mentioned the Heller decision,0.0398082567013
68,CLINTON, And what I was saying that you referenced Chris was that I disagreed with the way the court applied the Second Amendment in that case because what the District of Columbia was trying to do was to protect toddlers from guns and so they wanted people with guns to safely store them,-0.169745082251
69,CLINTON, And the court didn't accept that reasonable regulation but they've accepted many others,-0.216778140662
70,CLINTON, So I see no conflict between saving people's lives and defending the Second Amendment,-0.096668250552
71,WALLACE, Let me bring Mister Trump in here,0.193331749448
72,WALLACE, The bipartisan Open Debate Coalition got millions of votes on questions to ask here and this was in fact one of the top questions that they got,0.0497691978812
73,WALLACE, How will you ensure the Second Amendment is protected,0.260315876432
74,WALLACE, You just heard Secretary Clinton's answer,0.33809365421
75,WALLACE, Does she persuade you that while you may disagree on regulation that in fact she supports a Second Amendment right to bear arms,0.127369016529
76,WALLACE, TRUMP Well the DC vs Heller decision was very strongly -- and she was extremely angry about it,-0.172435270332
77,WALLACE, I watched,0.314760320877
78,WALLACE, I mean she was very very angry when upheld,-0.344657492554
79,WALLACE, And Justice Scalia was so involved,0.0973002673972
80,WALLACE, And it was a well-crafted decision,-0.28936639927
81,WALLACE, But Hillary was extremely upset extremely angry,-1.05523967912
82,WALLACE, And people that believe in the Second Amendment and believe in it very strongly were very upset with what she had to say,0.0421516252244
83,WALLACE, Well let me bring in Secretary Clinton,0.416188892305
84,WALLACE, Were you extremely upset,-0.535239679123
85,CLINTON, Well I was upset because unfortunately dozens of toddlers injure themselves even kill people with guns because unfortunately not everyone who has loaded guns in their homes takes appropriate precautions,-0.498049044544
86,CLINTON,But there's no doubt that I respect the Second Amendment that I also believe there's an individual right to bear arms,-0.054287298171
87,CLINTON, That is not in conflict with sensible commonsense regulation,-0.531853083763
88,CLINTON,And you know look I understand that Donald's been strongly supported by the NRA,0.268365989323
89,CLINTON, The gun lobby's on his side,-0.472699732603
90,CLINTON, They're running millions of dollars of ads against me,0.182538098654
91,CLINTON, And I regret that because what I would like to see is for people to come together and say Of course we're going to protect and defend the Second Amendment,0.0534269875433
92,CLINTON, But we're going to do it in a way that tries to save some of these 33000 lives that we lose every year,-0.12762056264
93,WALLACE, Let me bring Mister Trump back into this because in fact you oppose any limits on assault weapons any limits on high- capacity magazines,-0.325438025827
94,WALLACE, You support a national right to carry law,0.314760320877
95,WALLACE, Why sir,-0.255239679123
96,TRUMP, Well let me just tell you before we go any further,0.42112395724
97,TRUMP, In Chicago which has the toughest gun laws in the United States probably you could say by far they have more gun violence than any other city,-0.242823394711
98,TRUMP, So we have the toughest laws and you have tremendous gun violence,-0.258969705863
99,TRUMP,I am a very strong supporter of the Second Amendment,0.354760320877
100,TRUMP, And I am -- I don't know if Hillary was saying it in a sarcastic manner but I'm very proud to have the endorsement of the NRA,-0.0426115785125
101,TRUMP, And it's the earliest endorsement they've ever given to anybody who ran for president,-0.0984368449003
102,TRUMP, So I'm very honored by all of that,0.269760320877
103,TRUMP,We are going to appoint justices -- this is the best way to help the Second Amendment,0.0745084995454
104,TRUMP, We are going to appoint justices that will feel very strongly about the Second Amendment that will not do damage to the Second Amendment,-0.0889697058631
105,WALLACE, Well let's pick up on another issue which divides you and the justices that whoever ends up winning this election appoints could have a dramatic effect there and that's the issue of abortion,-0.0896118295061
106,TRUMP, Right,1.16476032088
107,WALLACE, Mister Trump you're pro-life,-0.0214297593426
108,WALLACE, But I want to ask you specifically Do you want the court including the justices that you will name to overturn Roe v,0.011095931197
109,WALLACE, Wade which includes -- in fact states -- a woman's right to abortion,0.0452002468281
110,TRUMP, Well if that would happen because I am pro-life and I will be appointing pro-life judges I would think that that will go back to the individual states,0.0721074293541
111,WALLACE, But I'm asking you specifically,0.0207603208766
112,WALLACE, Would you like to,0.579760320877
113,TRUMP, If they overturned it it will go back to the states,-0.0993087992031
114,WALLACE, But what I'm asking you sir is do you want to see the court overturn -- you just said you want to see the court protect the Second Amendment,0.0306389194368
115,WALLACE, Do you want to see the court overturn Roe v,-0.0841917432987
116,WALLACE, Wade,0.0
117,TRUMP, Well if we put another two or perhaps three justice on that's really what's going to be -- that will happen,0.0978669722634
118,TRUMP, And that'll happen automatically in my opinion because I am putting pro-life justices on the court,-0.013334719233
119,TRUMP, I will say this It will go back to the states and the states will then make a determination,0.168970847192
120,WALLACE, Secretary Clinton,0.174760320877
121,CLINTON, Well I strongly support Roe v,0.493966934064
122,CLINTON, Wade which guarantees a constitutional right to a woman to make the most intimate most difficult in many cases decisions about her health care that one can imagine,0.283706012243
123,CLINTON, And in this case it's not only about Roe v,-0.409715711211
124,CLINTON, Wade,0.0
125,CLINTON, It is about what's happening right now in America,0.244760320877
126,CLINTON,So many states are putting very stringent regulations on women that block them from exercising that choice to the extent that they are defunding Planned Parenthood which of course provides all kinds of cancer screenings and other benefits for women in our country,0.0162998184491
127,CLINTON,Donald has said he's in favor of defunding Planned Parenthood,0.0558082567013
128,CLINTON, He even supported shutting the government down to defund Planned Parenthood,-0.105628857544
129,CLINTON, I will defend Planned Parenthood,0.327808256701
130,CLINTON, I will defend Roe v,0.0638082567013
131,CLINTON, Wade and I will defend women's rights to make their own health care decisions,0.502991726528
132,WALLACE, Secretary Clinton,0.174760320877
133,WALLACE, CLINTON And we have come too far to have that turned back now,0.0539910901074
134,WALLACE, And indeed he said women should be punished that there should be some form of punishment for women who obtain abortions,-0.0290263763498
135,WALLACE, And I could just not be more opposed to that kind of thinking,0.00168339779966
136,WALLACE, I'm going to give you a chance to respond but I want to ask you Secretary Clinton I want to explore how far you believe the right to abortion goes,0.0937603208766
137,WALLACE, You have been quoted as saying that the fetus has no constitutional rights,-0.0140673961139
138,WALLACE, You also voted against a ban on late-term partial-birth abortions,-0.298667775386
139,WALLACE, Why,-0.395239679123
140,CLINTON, Because Roe v,-0.363493119416
141,CLINTON, Wade very clearly sets out that there can be regulations on abortion so long as the life and the health of the mother are taken into account,-0.055415987304
142,CLINTON, And when I voted as a senator I did not think that that was the case,-0.168989679123
143,CLINTON,The kinds of cases that fall at the end of pregnancy are often the most heartbreaking painful decisions for families to make,-0.215456057345
144,CLINTON, I have met with women who toward the end of their pregnancy get the worst news one could get that their health is in jeopardy if they continue to carry to term or that something terrible has happened or just been discovered about the pregnancy,-0.0664565751429
145,CLINTON, I do not think the United States government should be stepping in and making those most personal of decisions,0.177391899824
146,CLINTON, So you can regulate if you are doing so with the life and the health of the mother taken into account,0.187390781787
147,WALLACE, Mister Trump your reaction,0.0897603208766
148,WALLACE, And particularly on this issue of late-term partial-birth abortions,-0.170159786082
149,TRUMP, Well I think it's terrible,-0.0712396791234
150,TRUMP, If you go with what Hillary is saying in the ninth month you can take the baby and rip the baby out of the womb of the mother just prior to the birth of the baby,0.0980936542099
151,TRUMP,Now you can say that that's OK and Hillary can say that that's OK,0.133331749448
152,TRUMP, But it's not OK with me because based on what she's saying and based on where she's going and where she's been you can take the baby and rip the baby out of the womb in the ninth month on the final day,-0.0445420047048
153,TRUMP, And that's not acceptable,-0.117739679123
154,CLINTON, Well that is not what happens in these cases,-0.255239679123
155,CLINTON, And using that kind of scare rhetoric is just terribly unfortunate,-0.374287010192
156,CLINTON, You should meet with some of the women that I have met with women I have known over the course of my life,0.370847277398
157,CLINTON, This is one of the worst possible choices that any woman and her family has to make,0.0294662032295
158,CLINTON, And I do not believe the government should be making it,0.0120330481493
159,CLINTON,You know I've had the great honor of traveling across the world on behalf of our country,0.450642673818
160,CLINTON, I've been to countries where governments either forced women to have abortions like they used to do in China or forced women to bear children like they used to do in Romania,0.0569628008218
161,CLINTON, And I can tell you The government has no business in the decisions that women make with their families in accordance with their faith with medical advice,0.211056617173
162,CLINTON, And I will stand up for that right,0.324760320877
163,WALLACE, All right,1.00476032088
164,WALLACE, But just briefly I want to move on to another segment,-0.0370578609416
165,TRUMP, And honestly nobody has business doing what I just said doing that as late as one or two or three or four days prior to birth,-0.063701217585
166,TRUMP, Nobody has that,-0.788573012457
167,WALLACE, All right,1.00476032088
168,WALLACE, Let's move on to the subject of immigration,-0.0902396791234
169,WALLACE, And there is almost no issue that separates the two of you more than the issue of immigration,-0.34105969695
170,WALLACE, Actually there are a lot of issues that separate the two of you,-0.279855063739
171,WALLACE,Mister Trump you want to build a wall,0.137260320877
172,WALLACE, Secretary Clinton you have offered no specific plan for how you want to secure our southern border,0.205936791465
173,WALLACE, Mister Trump you are calling for major deportations,0.154165280767
174,WALLACE, Secretary Clinton you say that within your first 100 days as president you're going to offer a package that includes a pathway to citizenship,0.181665280767
175,WALLACE, The question really is why are you right and your opponent wrong,-0.228573012457
176,WALLACE,Mister Trump you go first in this segment,0.294760320877
177,WALLACE, You have two minutes,0.309760320877
178,TRUMP, Well first of all she wants to give amnesty which is a disaster and very unfair to all of the people that are waiting on line for many many years,-0.0800650231526
179,TRUMP, We need strong borders,0.434760320877
180,TRUMP,In the audience tonight we have four mothers of -- I mean these are unbelievable people that I've gotten to know over a period of years whose children have been killed brutally killed by people that came into the country illegally,-0.11619190555
181,TRUMP, You have thousands of mothers and fathers and relatives all over the country,0.5216833978
182,TRUMP, They're coming in illegally,0.138570240657
183,TRUMP, Drugs are pouring in through the border,-0.506668250552
184,TRUMP, We have no country if we have no border,-0.130795234679
185,TRUMP,Hillary wants to give amnesty,0.103808256701
186,TRUMP, She wants to have open borders,0.194760320877
187,TRUMP, The border -- as you know the Border Patrol agents 16500-plus ICE last week endorsed me,-0.0386322392878
188,TRUMP, First time they've ever endorsed a candidate,0.236188892305
189,TRUMP, It means their job is tougher,0.0139669340638
190,TRUMP, But they know what's going on,-0.0852396791234
191,TRUMP, They know it better than anybody,0.19809365421
192,TRUMP, They want strong borders,0.459760320877
193,TRUMP, They feel we have to have strong borders,0.442260320877
194,TRUMP,I was up in New Hampshire the other day,0.269204765321
195,TRUMP, The biggest complaint they have -- it's with all of the problems going on in the world many of the problems caused by Hillary Clinton and by Barack Obama,-0.237472793636
196,TRUMP, All of the problems -- the single biggest problem is heroin that pours across our southern border,-0.319609147513
197,TRUMP, It's just pouring and destroying their youth,0.0926517036085
198,TRUMP, It's poisoning the blood of their youth and plenty of other people,-0.0323030391965
199,TRUMP, We have to have strong borders,0.461426987543
200,TRUMP, We have to keep the drugs out of our country,-0.115239679123
201,TRUMP, We are -- right now we're getting the drugs they're getting the cash,0.13208645004
202,TRUMP, We need strong borders,0.434760320877
203,TRUMP, We need absolute -- we cannot give amnesty,0.0760702406574
204,TRUMP,Now I want to build the wall,0.150474606591
205,TRUMP, We need the wall,-0.0802396791234
206,TRUMP, And the Border Patrol ICE they all want the wall,0.00228428878893
207,TRUMP, We stop the drugs,-0.895239679123
208,TRUMP, We shore up the border,0.388760320877
209,TRUMP, One of my first acts will be to get all of the drug lords all of the bad ones -- we have some bad bad people in this country that have to go out,-0.168320865032
210,TRUMP, We're going to get them out; we're going to secure the border,0.0260302941369
211,TRUMP, And once the border is secured at a later date we'll make a determination as to the rest,0.134204765321
212,TRUMP, But we have some bad hombres here and we're going to get them out,-0.265579702043
213,WALLACE, Mister Trump thank you,0.719760320877
214,WALLACE, Same question to you Secretary Clinton,0.0680936542099
215,WALLACE, Basically why are you right and Mister Trump is wrong,-0.0992396791234
216,CLINTON, Well as he was talking I was thinking about a young girl I met here in Las Vegas Carla who is very worried that her parents might be deported because she was born in this country but they were not,0.124522304833
217,CLINTON, They work hard they do everything they can to give her a good life,0.386188892305
218,CLINTON,And you're right,0.311426987543
219,CLINTON, I don't want to rip families apart,-0.323811107695
220,CLINTON, I don't want to be sending parents away from children,0.190760320877
221,CLINTON, I don't want to see the deportation force that Donald has talked about in action in our country,-0.002170808061
222,CLINTON,We have 11 million undocumented people,0.706506880584
223,CLINTON, They have 4 million American citizen children 15 million people,0.913808256701
224,CLINTON, He said as recently as a few weeks ago in Phoenix that every undocumented person would be subject to deportation,-0.0677157112111
225,CLINTON, Now here's what that means,-0.0952396791234
226,CLINTON, It means you would have to have a massive law enforcement presence where law enforcement officers would be going school to school home to home business to business rounding up people who are undocumented,0.120950890237
227,CLINTON, And we would then have to put them on trains on buses to get them out of our country,0.0531813735082
228,CLINTON,I think that is an idea that is not in keeping with who we are as a nation,0.100315876432
229,CLINTON, I think it's an idea that would rip our country apart,-0.00251240639614
230,CLINTON,I have been for border security for years,0.0622603208766
231,CLINTON, I voted for border security in the United States Senate,0.264760320877
232,CLINTON, And my comprehensive immigration reform plan of course includes border security,0.155669411786
233,CLINTON, But I want to put our resources where I think they're most needed Getting rid of any violent person,-0.105765994913
234,CLINTON, Anybody who should be deported we should deport them,-0.0162975282071
235,CLINTON,When it comes to the wall that Donald talks about building he went to Mexico he had a meeting with the Mexican president,-0.0804570704278
236,CLINTON, Didn't even raise it,-0.0402396791234
237,CLINTON, He choked and then got into a Twitter war because the Mexican president said we're not paying for that wall,-0.344477695167
238,CLINTON,So I think we are both a nation of immigrants and we are a nation of laws and that we can act accordingly,0.196064668703
239,CLINTON, And that's why I'm introducing comprehensive immigration reform within the first 100 days with the path to citizenship,0.0595224896194
240,WALLACE, Thank you Secretary Clinton,0.809760320877
241,WALLACE, I want to follow up,0.304760320877
242,TRUMP, Chris I think it's,0.179760320877
243,WALLACE, OK,0.564760320877
244,TRUMP, I think I should respond to that,0.193331749448
245,TRUMP, First of all I had a very good meeting with the president of Mexico,0.339046035162
246,TRUMP, Very nice man,1.09142698754
247,TRUMP, We will be doing very much better with Mexico on trade deals,0.644760320877
248,TRUMP, Believe me,1.26476032088
249,TRUMP, The NAFTA deal signed by her husband is one of the worst deals ever made of any kind signed by anybody,0.0235812579777
250,TRUMP, It's a disaster,-1.34857301246
251,TRUMP,Hillary Clinton wanted the wall,-0.207239679123
252,TRUMP, Hillary Clinton fought for the wall in 2006 or thereabouts,-0.344191743299
253,TRUMP, Now she never gets anything done so naturally the wall wasn't built,0.0830936542099
254,TRUMP, But Hillary Clinton wanted the wall,-0.36190634579
255,WALLACE, Well let me -- wait wait sir let me,0.0375647296681
256,TRUMP, We are a country of laws,0.13809365421
257,TRUMP, We either have -- and by the way,0.011665280767
258,WALLACE, Now wait,-0.555239679123
259,WALLACE, I'd like to hear from,0.356760320877
260,TRUMP, Well -- well but she said one thing,0.314165280767
261,WALLACE, I'd like to hear -- I'd like to hear from Secretary Clinton,0.342696960804
262,CLINTON, I voted for border security and there are,0.0922603208766
263,TRUMP, And the wall,-0.315239679123
264,CLINTON, There are some limited places where that was appropriate,-0.213017456901
265,CLINTON, There also is necessarily going to be new technology and how best to deploy that,0.144442966151
266,CLINTON,But it is clear when you look at what Donald has been proposing he started his campaign bashing immigrants calling Mexican immigrants rapists and criminals and drug dealers that he has a very different view about what we should do to deal with immigrants,-0.0515815264758
267,CLINTON,Now what I am also arguing is that bringing undocumented immigrants out from the shadows putting them into the formal economy will be good because then employers can't exploit them and undercut Americans' wages,-0.130505599227
268,CLINTON,And Donald knows a lot about this,0.0619031780194
269,CLINTON, He used undocumented labor to build the Trump Tower,-0.18021304811
270,CLINTON, He underpaid undocumented workers and when they complained he basically said what a lot of employers do "You complain I'll get you deported",-0.136067561015
271,CLINTON,I want to get everybody out of the shadows get the economy working and not let employers like Donald exploit undocumented workers which hurts them but also hurts American workers,-0.216890367182
272,WALLACE, Mister Trump,-0.00523967912342
273,TRUMP, President Obama has moved millions of people out,0.252260320877
274,TRUMP, Nobody knows about it nobody talks about it,-0.427739679123
275,TRUMP, But under Obama millions of people have been moved out of this country,0.00629878241505
276,TRUMP, They've been deported,-0.243493119416
277,TRUMP, She doesn't want to say that but that's what's happened and that's what happened big league,-0.210239679123
278,TRUMP,As far as moving these people out and moving -- we either have a country or we don't,-0.0477263636166
279,TRUMP, We're a country of laws,0.0327603208766
280,TRUMP, We either have a border or we don't,-0.0627396791234
281,TRUMP,Now you can come back in and you can become a citizen,0.30809365421
282,TRUMP, But it's very unfair,-0.730239679123
283,TRUMP, We have millions of people that did it the right way,0.339305775422
284,TRUMP, They're on line,-0.0819063457901
285,TRUMP, They're waiting,-0.865239679123
286,TRUMP, We're going to speed up the process big league because it's very inefficient,0.17208645004
287,TRUMP, But they're on line and they're waiting to become citizens,-0.261239679123
288,TRUMP,Very unfair that somebody runs across the border becomes a citizen under her plan you have open borders,0.00253809865436
289,TRUMP, You would have a disaster on trade and you will have a disaster with your open borders,-0.124651443829
290,WALLACE, I want to,0.15809365421
291,TRUMP, But what she doesn't say is that President Obama has deported millions and millions of people just the way it is,0.0473907817872
292,WALLACE, Secretary Clinton I want to,0.164760320877
293,CLINTON, We will not have open borders,0.14809365421
294,CLINTON, That is,-0.315239679123
295,WALLACE, Well let me -- Secretary,0.511808256701
296,CLINTON, That is a rank mischaracterization,-0.0841917432987
297,WALLACE, Secretary Clinton,0.174760320877
298,CLINTON, We will have secure borders but we'll also have reform,0.286760320877
299,CLINTON, And this used to be a bipartisan issue,-0.295834719233
300,CLINTON, Ronald Reagan was the last president,-0.538573012457
301,WALLACE, Secretary Clinton excuse me,0.189760320877
302,WALLACE, Secretary Clinton,0.174760320877
303,CLINTON, to sign immigration reform and George W,-0.140953964838
304,CLINTON, Bush supported it as well,0.300760320877
305,WALLACE, Secretary Clinton I want to clear up your position on this issue because in a speech you gave to a Brazilian bank for which you were paid $225000 we've learned from the WikiLeaks that you said this and I want to quote,0.177390781787
306,WALLACE, "My dream is a hemispheric common market with open trade and open borders,0.297874117665
307,WALLACE," So that's the question,-0.236191743299
308,TRUMP, Thank you,1.44476032088
309,WALLACE, That's the question,-0.295239679123
310,WALLACE, Please quiet everybody,0.644760320877
311,WALLACE, Is that your dream open borders,0.271426987543
