"","data_id","language","form","age","gender","mom_ed","comprehension","production"
"1",70415,"Danish","WS",29,"Male",NA,516,516
"2",70416,"Danish","WS",29,"Female",NA,460,460
"3",70417,"Danish","WS",29,"Female","Secondary",420,420
"4",70418,"Danish","WS",29,"Female","Graduate",507,507
"5",70419,"Danish","WS",29,"Female","Graduate",415,415
"6",70420,"Danish","WS",29,"Female","Some College",434,434
"7",70421,"Danish","WS",29,"Male","Some College",68,68
"8",70422,"Danish","WS",29,"Male","Some College",437,437
"9",70423,"Danish","WS",29,"Male","Some College",569,569
"10",70424,"Danish","WS",29,"Male","Some College",625,625
"11",70425,"Danish","WS",29,"Female",NA,584,584
"12",70426,"Danish","WS",29,"Female","Secondary",578,578
"13",70427,"Danish","WS",29,"Female","Graduate",639,639
"14",70428,"Danish","WS",29,"Male",NA,522,522
"15",70429,"Danish","WS",29,"Female","Some College",572,572
"16",70430,"Danish","WS",29,"Female","Secondary",367,367
"17",70431,"Danish","WS",28,"Male",NA,505,505
"18",70432,"Danish","WS",28,"Female",NA,416,416
"19",70433,"Danish","WS",29,"Male","Some College",437,437
"20",70434,"Danish","WS",29,"Male","Graduate",27,27
"21",70435,"Danish","WS",29,"Female","Some College",686,686
"22",70436,"Danish","WS",28,"Female","Some College",440,440
"23",70437,"Danish","WS",28,"Male",NA,262,262
"24",70438,"Danish","WS",28,"Male","Graduate",324,324
"25",70439,"Danish","WS",28,"Male",NA,479,479
"26",70440,"Danish","WS",28,"Male","Some College",536,536
"27",70441,"Danish","WS",28,"Male",NA,318,318
"28",70442,"Danish","WS",28,"Male","Some College",378,378
"29",70443,"Danish","WS",28,"Male",NA,372,372
"30",70444,"Danish","WS",28,"Female","Some College",463,463
"31",70445,"Danish","WS",28,"Female",NA,490,490
"32",70446,"Danish","WS",29,"Female",NA,407,407
"33",70447,"Danish","WS",28,"Female","Graduate",663,663
"34",70448,"Danish","WS",28,"Female","Graduate",493,493
"35",70449,"Danish","WS",28,"Female","Some College",578,578
"36",70450,"Danish","WS",28,"Male",NA,432,432
"37",70451,"Danish","WS",28,"Male","Some College",278,278
"38",70452,"Danish","WS",28,"Female","Some College",353,353
"39",70453,"Danish","WS",28,"Female","Some College",357,357
"40",70454,"Danish","WS",28,"Male",NA,393,393
"41",70455,"Danish","WS",30,"Female","Graduate",522,522
"42",70456,"Danish","WS",30,"Female","Graduate",591,591
"43",70457,"Danish","WS",30,"Female","Graduate",564,564
"44",70458,"Danish","WS",30,"Male","Primary",528,528
"45",70459,"Danish","WS",30,"Male","Some College",442,442
"46",70460,"Danish","WS",30,"Male",NA,465,465
"47",70461,"Danish","WS",30,"Female","Some College",474,474
"48",70462,"Danish","WS",30,"Female","Some College",449,449
"49",70463,"Danish","WS",26,"Female","Graduate",183,183
"50",70464,"Danish","WS",30,"Male","Some College",554,554
"51",70465,"Danish","WS",30,"Male","Some College",430,430
"52",70466,"Danish","WS",30,"Female",NA,364,364
"53",70467,"Danish","WS",30,"Male","Some College",423,423
"54",70468,"Danish","WS",30,"Male",NA,555,555
"55",70469,"Danish","WS",30,"Male","Some College",363,363
"56",70470,"Danish","WS",30,"Female",NA,595,595
"57",70471,"Danish","WS",30,"Female","Graduate",571,571
"58",70472,"Danish","WS",30,"Female",NA,642,642
"59",70473,"Danish","WS",30,"Male","Some College",258,258
"60",70474,"Danish","WS",30,"Male",NA,577,577
"61",70475,"Danish","WS",30,"Male","Graduate",574,574
"62",70476,"Danish","WS",30,"Female",NA,454,454
"63",70477,"Danish","WS",30,"Male","Graduate",668,668
"64",70478,"Danish","WS",30,"Male",NA,597,597
"65",70479,"Danish","WS",30,"Male",NA,378,378
"66",70480,"Danish","WS",27,"Male","Some College",608,608
"67",70481,"Danish","WS",27,"Female","Graduate",453,453
"68",70482,"Danish","WS",27,"Male","Some College",411,411
"69",70483,"Danish","WS",27,"Male","Some College",544,544
"70",70484,"Danish","WS",27,"Male",NA,94,94
"71",70485,"Danish","WS",27,"Female","Some College",357,357
"72",70486,"Danish","WS",27,"Female","Some College",253,253
"73",70487,"Danish","WS",23,"Female",NA,562,562
"74",70488,"Danish","WS",27,"Male",NA,246,246
"75",70489,"Danish","WS",27,"Male",NA,59,59
"76",70490,"Danish","WS",27,"Male","Primary",521,521
"77",70491,"Danish","WS",27,"Male",NA,344,344
"78",70492,"Danish","WS",27,"Female","Some College",571,571
"79",70493,"Danish","WS",27,"Female","Some College",544,544
"80",70494,"Danish","WS",27,"Female",NA,447,447
"81",70495,"Danish","WS",27,"Female","Graduate",493,493
"82",70496,"Danish","WS",27,"Male","Some College",656,656
"83",70497,"Danish","WS",27,"Female","Graduate",180,180
"84",70498,"Danish","WS",27,"Female",NA,293,293
"85",70499,"Danish","WS",26,"Male","Graduate",266,266
"86",70500,"Danish","WS",26,"Female",NA,705,705
"87",70501,"Danish","WS",26,"Female",NA,418,418
"88",70502,"Danish","WS",26,"Male","Some College",251,251
"89",70503,"Danish","WS",26,"Female",NA,671,671
"90",70504,"Danish","WS",26,"Female","Some College",562,562
"91",70505,"Danish","WS",26,"Male","Some College",261,261
"92",70506,"Danish","WS",26,"Female","Some College",327,327
"93",70507,"Danish","WS",26,"Male","Secondary",153,153
"94",70508,"Danish","WS",26,"Male","Some College",399,399
"95",70509,"Danish","WS",26,"Male","Graduate",474,474
"96",70510,"Danish","WS",26,"Female","Some College",445,445
"97",70511,"Danish","WS",26,"Female","Graduate",428,428
"98",70512,"Danish","WS",26,"Female",NA,263,263
"99",70513,"Danish","WS",26,"Female",NA,511,511
"100",70514,"Danish","WS",26,"Female",NA,322,322
"101",70515,"Danish","WS",26,"Female","Some College",466,466
"102",70516,"Danish","WS",26,"Female",NA,674,674
"103",70517,"Danish","WS",26,"Female","Some College",621,621
"104",70518,"Danish","WS",27,"Male","Some College",26,26
"105",70519,"Danish","WS",26,"Male","Some College",102,102
"106",70520,"Danish","WS",26,"Male","Secondary",333,333
"107",70521,"Danish","WS",26,"Female",NA,371,371
"108",70522,"Danish","WS",26,"Female","Some College",221,221
"109",70523,"Danish","WS",25,"Male","Primary",436,436
"110",70524,"Danish","WS",25,"Female","Graduate",90,90
"111",70525,"Danish","WS",25,"Female","Some College",623,623
"112",70526,"Danish","WS",25,"Male","Some College",34,34
"113",70527,"Danish","WS",25,"Female","Graduate",296,296
"114",70528,"Danish","WS",25,"Female","Some College",364,364
"115",70529,"Danish","WS",25,"Female","Some College",77,77
"116",70530,"Danish","WS",25,"Female",NA,287,287
"117",70531,"Danish","WS",21,"Male","Some College",25,25
"118",70532,"Danish","WS",21,"Male",NA,83,83
"119",70533,"Danish","WS",21,"Male",NA,39,39
"120",70534,"Danish","WS",21,"Female","Some College",207,207
"121",70535,"Danish","WS",21,"Female","Graduate",544,544
"122",70536,"Danish","WS",21,"Female",NA,18,18
"123",70537,"Danish","WS",21,"Female","Some College",118,118
"124",70538,"Danish","WS",22,"Male","Some College",298,298
"125",70539,"Danish","WS",21,"Female",NA,129,129
