,subject,age,gender,trial,colour1,colour2,col1_name,col2_name,colour_distance,category,accuracy,rt
0,85,19,f,1,"[1, -0.85, -0.7]","[1, -0.7, -0.4]",red,pink,0.3,across,1,649.625103
1,85,19,f,2,"[1, -0.475, 0.050000000000000044]","[1, -0.7, -0.4]",pink,pink,0.45,within,1,608.2425522
2,85,19,f,3,"[1, -1.0, -1.0]","[1, -0.475, 0.050000000000000044]",red,pink,1.05,across,1,609.1192012
3,85,19,f,4,"[1, -0.85, -0.7]","[1, -0.925, -0.85]",red,red,0.15,within,1,650.9644421
4,85,19,f,5,"[1, -0.32500000000000007, 0.34999999999999987]","[1, -0.85, -0.7]",pink,red,1.05,across,1,579.2679955
5,85,19,f,6,"[1, -0.7, -0.4]","[1, -0.55, -0.10000000000000009]",pink,pink,0.3,within,1,861.9824168
6,85,19,f,7,"[1, -0.775, -0.55]","[1, -0.475, 0.050000000000000044]",pink,pink,0.6,within,1,1313.612066
7,85,19,f,8,"[1, -0.4, 0.19999999999999996]","[1, -0.85, -0.7]",pink,red,0.9,across,1,556.8218833
8,85,19,f,9,"[1, -0.475, 0.050000000000000044]","[1, -0.32500000000000007, 0.34999999999999987]",pink,pink,0.3,within,1,611.9492026
9,85,19,f,10,"[1, -0.32500000000000007, 0.34999999999999987]","[1, -0.625, -0.25]",pink,pink,0.6,within,1,562.4531603
10,85,19,f,11,"[1, -0.55, -0.10000000000000009]","[1, -0.625, -0.25]",pink,pink,0.15,within,0,555.7795482
11,85,19,f,12,"[1, -0.32500000000000007, 0.34999999999999987]","[1, -0.475, 0.050000000000000044]",pink,pink,0.3,within,1,2393.691821
12,85,19,f,13,"[1, -0.32500000000000007, 0.34999999999999987]","[1, -0.55, -0.10000000000000009]",pink,pink,0.45,within,1,831.1555608
13,85,19,f,14,"[1, -0.85, -0.7]","[1, -1.0, -1.0]",red,red,0.3,within,1,715.7626
14,85,19,f,15,"[1, -0.775, -0.55]","[1, -0.7, -0.4]",pink,pink,0.15,within,0,959.4663983
15,85,19,f,16,"[1, -0.625, -0.25]","[1, -0.85, -0.7]",pink,red,0.45,across,1,608.0276219
16,85,19,f,17,"[1, -0.85, -0.7]","[1, -0.625, -0.25]",red,pink,0.45,across,1,547.5634647
17,85,19,f,18,"[1, -0.775, -0.55]","[1, -0.55, -0.10000000000000009]",pink,pink,0.45,within,1,616.4304228
18,85,19,f,19,"[1, -1.0, -1.0]","[1, -0.7, -0.4]",red,pink,0.6,across,1,585.5686856
19,85,19,f,20,"[1, -0.4, 0.19999999999999996]","[1, -0.55, -0.10000000000000009]",pink,pink,0.3,within,1,778.6427997
20,85,19,f,21,"[1, -0.925, -0.85]","[1, -0.85, -0.7]",red,red,0.15,within,1,1125.674222
21,85,19,f,22,"[1, -0.925, -0.85]","[1, -0.775, -0.55]",red,pink,0.3,across,1,583.4004029
22,85,19,f,23,"[1, -0.625, -0.25]","[1, -0.4, 0.19999999999999996]",pink,pink,0.45,within,1,556.3838153
23,85,19,f,24,"[1, -0.7, -0.4]","[1, -0.775, -0.55]",pink,pink,0.15,within,1,587.896499
24,85,19,f,25,"[1, -0.7, -0.4]","[1, -0.475, 0.050000000000000044]",pink,pink,0.45,within,1,594.0674102
25,85,19,f,26,"[1, -1.0, -1.0]","[1, -0.4, 0.19999999999999996]",red,pink,1.2,across,1,481.4721342
26,85,19,f,27,"[1, -0.4, 0.19999999999999996]","[1, -0.625, -0.25]",pink,pink,0.45,within,1,523.0578173
27,85,19,f,28,"[1, -0.775, -0.55]","[1, -1.0, -1.0]",pink,red,0.45,across,1,498.7101616
28,85,19,f,29,"[1, -0.55, -0.10000000000000009]","[1, -0.775, -0.55]",pink,pink,0.45,within,1,943.3055873
29,85,19,f,30,"[1, -0.85, -0.7]","[1, -0.4, 0.19999999999999996]",red,pink,0.9,across,1,722.1628043
30,85,19,f,31,"[1, -0.925, -0.85]","[1, -0.475, 0.050000000000000044]",red,pink,0.9,across,1,464.7650206
31,85,19,f,32,"[1, -0.925, -0.85]","[1, -0.7, -0.4]",red,pink,0.45,across,1,651.6261608
32,85,19,f,33,"[1, -0.925, -0.85]","[1, -0.4, 0.19999999999999996]",red,pink,1.05,across,1,426.4704902
33,85,19,f,34,"[1, -0.775, -0.55]","[1, -0.85, -0.7]",pink,red,0.15,across,1,666.4861047
34,85,19,f,35,"[1, -0.775, -0.55]","[1, -0.32500000000000007, 0.34999999999999987]",pink,pink,0.9,within,1,492.0580938
35,85,19,f,36,"[1, -0.775, -0.55]","[1, -0.625, -0.25]",pink,pink,0.3,within,0,587.8144254
36,85,19,f,37,"[1, -0.625, -0.25]","[1, -0.32500000000000007, 0.34999999999999987]",pink,pink,0.6,within,1,548.5078244
37,85,19,f,38,"[1, -0.55, -0.10000000000000009]","[1, -0.475, 0.050000000000000044]",pink,pink,0.15,within,0,497.184105
38,85,19,f,39,"[1, -0.625, -0.25]","[1, -1.0, -1.0]",pink,red,0.75,across,1,546.258494
39,85,19,f,40,"[1, -0.4, 0.19999999999999996]","[1, -1.0, -1.0]",pink,red,1.2,across,1,501.1739094
40,85,19,f,41,"[1, -0.4, 0.19999999999999996]","[1, -0.7, -0.4]",pink,pink,0.6,within,1,634.4014703
41,85,19,f,42,"[1, -0.4, 0.19999999999999996]","[1, -0.775, -0.55]",pink,pink,0.75,within,1,451.808159
42,85,19,f,43,"[1, -0.4, 0.19999999999999996]","[1, -0.32500000000000007, 0.34999999999999987]",pink,pink,0.15,within,1,589.3676688
43,85,19,f,44,"[1, -0.7, -0.4]","[1, -0.4, 0.19999999999999996]",pink,pink,0.6,within,1,441.653599
44,85,19,f,45,"[1, -0.925, -0.85]","[1, -1.0, -1.0]",red,red,0.15,within,1,511.9978825
45,85,19,f,46,"[1, -0.475, 0.050000000000000044]","[1, -0.4, 0.19999999999999996]",pink,pink,0.15,within,0,1776.953109
46,85,19,f,47,"[1, -0.7, -0.4]","[1, -1.0, -1.0]",pink,red,0.6,across,1,614.6719953
47,85,19,f,48,"[1, -0.32500000000000007, 0.34999999999999987]","[1, -0.925, -0.85]",pink,red,1.2,across,1,534.1551981
48,85,19,f,49,"[1, -0.32500000000000007, 0.34999999999999987]","[1, -0.4, 0.19999999999999996]",pink,pink,0.15,within,1,3284.085564
49,85,19,f,50,"[1, -0.925, -0.85]","[1, -0.32500000000000007, 0.34999999999999987]",red,pink,1.2,across,1,625.4292836
50,85,19,f,51,"[1, -0.475, 0.050000000000000044]","[1, -0.775, -0.55]",pink,pink,0.6,within,1,774.1138741
51,85,19,f,52,"[1, -0.475, 0.050000000000000044]","[1, -0.925, -0.85]",pink,red,0.9,across,1,536.4101712
52,85,19,f,53,"[1, -0.625, -0.25]","[1, -0.7, -0.4]",pink,pink,0.15,within,0,733.5264115
53,85,19,f,54,"[1, -0.55, -0.10000000000000009]","[1, -0.925, -0.85]",pink,red,0.75,across,1,782.1755565
54,85,19,f,55,"[1, -0.475, 0.050000000000000044]","[1, -0.55, -0.10000000000000009]",pink,pink,0.15,within,1,530.6860484
55,85,19,f,56,"[1, -1.0, -1.0]","[1, -0.55, -0.10000000000000009]",red,pink,0.9,across,1,701.2812207
56,85,19,f,57,"[1, -1.0, -1.0]","[1, -0.925, -0.85]",red,red,0.15,within,1,2881.643155
57,85,19,f,58,"[1, -0.475, 0.050000000000000044]","[1, -0.625, -0.25]",pink,pink,0.3,within,1,937.3762804
58,85,19,f,59,"[1, -0.85, -0.7]","[1, -0.775, -0.55]",red,pink,0.15,across,1,494.064794
59,85,19,f,60,"[1, -0.625, -0.25]","[1, -0.55, -0.10000000000000009]",pink,pink,0.15,within,0,1635.777743
60,85,19,f,61,"[1, -1.0, -1.0]","[1, -0.85, -0.7]",red,red,0.3,within,1,505.2673318
61,85,19,f,62,"[1, -0.32500000000000007, 0.34999999999999987]","[1, -0.775, -0.55]",pink,pink,0.9,within,1,496.0222502
62,85,19,f,63,"[1, -0.4, 0.19999999999999996]","[1, -0.475, 0.050000000000000044]",pink,pink,0.15,within,0,443.1027116
63,85,19,f,64,"[1, -1.0, -1.0]","[1, -0.625, -0.25]",red,pink,0.75,across,1,539.3427646
64,85,19,f,65,"[1, -0.32500000000000007, 0.34999999999999987]","[1, -0.7, -0.4]",pink,pink,0.75,within,1,632.7379404
65,85,19,f,66,"[1, -1.0, -1.0]","[1, -0.775, -0.55]",red,pink,0.45,across,1,486.5119681
66,85,19,f,67,"[1, -0.625, -0.25]","[1, -0.475, 0.050000000000000044]",pink,pink,0.3,within,0,506.7066981
67,85,19,f,68,"[1, -0.775, -0.55]","[1, -0.4, 0.19999999999999996]",pink,pink,0.75,within,0,440.893392
68,85,19,f,69,"[1, -0.625, -0.25]","[1, -0.775, -0.55]",pink,pink,0.3,within,1,729.2826918
69,85,19,f,70,"[1, -0.4, 0.19999999999999996]","[1, -0.925, -0.85]",pink,red,1.05,across,1,637.2673789
70,85,19,f,71,"[1, -0.55, -0.10000000000000009]","[1, -0.32500000000000007, 0.34999999999999987]",pink,pink,0.45,within,1,1976.22173
71,85,19,f,72,"[1, -0.85, -0.7]","[1, -0.475, 0.050000000000000044]",red,pink,0.75,across,1,950.7768526
72,85,19,f,73,"[1, -0.625, -0.25]","[1, -0.925, -0.85]",pink,red,0.6,across,1,655.2491986
73,85,19,f,74,"[1, -0.475, 0.050000000000000044]","[1, -0.85, -0.7]",pink,red,0.75,across,1,741.0151174
74,85,19,f,75,"[1, -0.55, -0.10000000000000009]","[1, -0.85, -0.7]",pink,red,0.6,across,1,648.7156246
75,85,19,f,76,"[1, -0.7, -0.4]","[1, -0.32500000000000007, 0.34999999999999987]",pink,pink,0.75,within,1,739.2089846
76,85,19,f,77,"[1, -0.55, -0.10000000000000009]","[1, -0.4, 0.19999999999999996]",pink,pink,0.3,within,0,1099.313711
