,subject,age,gender,trial,colour1,colour2,col1_name,col2_name,colour_distance,category,accuracy,rt
0,worldofwarcraftexpert,22,f,1,"[1, -0.475, 0.050000000000000044]","[1, -0.625, -0.25]",pink,pink,0.3,within,0,1408.991884
1,worldofwarcraftexpert,22,f,2,"[1, -0.475, 0.050000000000000044]","[1, -1.0, -1.0]",pink,red,1.05,across,1,1594.516763
2,worldofwarcraftexpert,22,f,3,"[1, -0.7, -0.4]","[1, -0.32500000000000007, 0.34999999999999987]",pink,pink,0.75,within,1,1588.74237
3,worldofwarcraftexpert,22,f,4,"[1, -0.55, -0.10000000000000009]","[1, -1.0, -1.0]",pink,red,0.9,across,1,869.9025222
4,worldofwarcraftexpert,22,f,5,"[1, -1.0, -1.0]","[1, -0.625, -0.25]",red,pink,0.75,across,1,606.9006483
5,worldofwarcraftexpert,22,f,6,"[1, -0.775, -0.55]","[1, -1.0, -1.0]",pink,red,0.45,across,1,1155.574159
6,worldofwarcraftexpert,22,f,7,"[1, -0.475, 0.050000000000000044]","[1, -0.925, -0.85]",pink,red,0.9,across,1,856.1787851
7,worldofwarcraftexpert,22,f,8,"[1, -1.0, -1.0]","[1, -0.32500000000000007, 0.34999999999999987]",red,pink,1.35,across,1,730.8184947
8,worldofwarcraftexpert,22,f,9,"[1, -0.7, -0.4]","[1, -0.85, -0.7]",pink,pink,0.3,within,0,247.4673873
9,worldofwarcraftexpert,22,f,10,"[1, -0.55, -0.10000000000000009]","[1, -0.775, -0.55]",pink,pink,0.45,within,1,1114.722009
10,worldofwarcraftexpert,22,f,11,"[1, -1.0, -1.0]","[1, -0.55, -0.10000000000000009]",red,pink,0.9,across,1,681.753339
11,worldofwarcraftexpert,22,f,12,"[1, -1.0, -1.0]","[1, -0.775, -0.55]",red,pink,0.45,across,1,807.5091217
12,worldofwarcraftexpert,22,f,13,"[1, -0.775, -0.55]","[1, -0.625, -0.25]",pink,pink,0.3,within,1,1417.166931
13,worldofwarcraftexpert,22,f,14,"[1, -0.925, -0.85]","[1, -0.4, 0.19999999999999996]",red,pink,1.05,across,1,872.1108158
14,worldofwarcraftexpert,22,f,15,"[1, -0.925, -0.85]","[1, -0.775, -0.55]",red,pink,0.3,across,1,1083.831033
15,worldofwarcraftexpert,22,f,16,"[1, -0.625, -0.25]","[1, -0.55, -0.10000000000000009]",pink,pink,0.15,within,1,1645.703522
16,worldofwarcraftexpert,22,f,17,"[1, -0.32500000000000007, 0.34999999999999987]","[1, -0.475, 0.050000000000000044]",pink,pink,0.3,within,1,1116.572769
17,worldofwarcraftexpert,22,f,18,"[1, -0.4, 0.19999999999999996]","[1, -1.0, -1.0]",pink,red,1.2,across,1,774.8309924
